,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
1003,2,5,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1004,2,5,7,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1005,2,5,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1006,2,5,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1007,2,5,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1008,2,5,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1009,2,5,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1010,2,5,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1011,2,5,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1012,2,5,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1013,2,5,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1014,2,5,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1015,2,5,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1016,2,5,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1017,2,5,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1018,2,5,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1019,2,5,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1020,2,5,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1021,2,5,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1022,2,5,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1023,2,5,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1024,2,5,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1025,2,5,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1026,2,5,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1027,2,5,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1028,2,5,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1029,2,5,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1030,2,5,3,8,6,13,6,18,14,14,20,30,16,37,25,20,23,223,3
1031,2,5,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1032,2,5,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1033,2,5,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1034,2,5,3,9,6,7,2,9,6,2,9,4,5,15,10,7,8,77,3
1035,2,5,2,6,8,2,3,2,1,1,3,3,2,1,3,3,2,24,3
1036,2,5,2,6,9,1,0,1,0,1,1,1,0,0,1,1,1,7,3
