,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
311,5,3,1,1,1,1,1,3,1,1,1,1,1,0
312,1,3,1,1,1,1,1,3,1,1,1,1,1,0
313,2,3,1,1,1,1,1,4,1,1,1,1,1,0
314,5,3,1,1,1,1,1,5,1,1,1,1,1,0
315,1,3,1,1,1,1,1,8,1,1,1,1,1,0
316,2,3,1,1,1,1,1,4,1,1,1,1,1,0
317,3,2,1,1,1,2,1,6,1,1,1,1,1,0
318,4,3,1,1,1,1,1,6,1,1,1,1,1,0
319,5,3,1,1,1,1,1,1,1,1,1,1,1,0
320,1,2,1,1,1,1,1,2,1,1,1,1,1,0
321,2,3,1,1,1,1,1,4,1,1,1,1,1,0
322,3,2,1,1,1,1,1,4,1,1,1,1,1,0
323,4,3,1,1,1,1,2,5,1,1,1,1,1,0
324,5,2,1,1,1,1,1,7,1,1,1,1,1,0
325,1,2,1,1,1,1,2,3,1,1,1,1,1,0
326,2,3,1,1,1,2,1,4,1,1,1,1,1,0
327,3,3,1,1,1,1,1,5,1,1,1,1,1,0
328,4,2,1,1,1,2,2,1,1,1,1,1,1,0
329,5,3,1,1,1,1,1,6,1,1,1,1,1,0
330,1,3,1,1,1,1,1,7,1,1,1,1,1,0
331,2,3,1,1,1,1,1,5,1,1,1,1,1,0
332,3,2,1,1,1,1,1,3,1,1,1,1,1,0
333,4,3,1,1,1,1,1,5,1,1,1,1,1,0
334,5,3,1,1,1,1,1,1,1,1,1,1,1,0
335,1,2,1,1,1,1,1,4,1,1,1,1,1,0
336,2,2,1,1,1,1,1,3,1,1,1,1,1,0
337,3,3,1,1,1,1,1,5,1,1,1,1,1,0
338,4,2,1,1,1,1,1,3,1,1,1,1,1,0
339,1,3,1,1,1,1,1,5,1,1,1,1,1,0
340,2,3,1,1,1,1,1,5,1,1,1,1,1,0
341,4,3,1,1,1,1,1,3,1,1,1,1,1,0
342,5,3,1,1,1,1,1,4,1,1,1,1,1,0
343,2,2,1,1,1,1,1,2,1,1,1,1,1,0
344,5,3,1,1,1,1,1,3,1,1,1,1,1,0
345,1,3,1,1,1,2,1,3,1,1,1,1,1,0
346,2,2,1,1,1,1,1,8,1,1,1,1,1,0
347,3,1,1,1,1,1,2,6,1,1,1,1,1,0
348,5,3,1,1,1,1,1,5,1,1,1,1,1,0
349,2,3,1,1,1,1,2,2,1,1,1,1,1,0
350,3,3,1,1,1,1,1,4,1,1,1,1,1,0
351,4,2,1,1,1,1,1,3,2,3,1,1,1,0
352,5,3,1,1,1,1,1,3,1,1,1,1,1,0
353,1,2,1,1,1,1,1,3,1,1,1,1,1,0
354,2,3,1,1,1,1,1,3,1,1,1,1,1,0
355,3,3,1,1,1,1,1,3,1,1,1,1,1,0
356,4,2,1,1,1,1,1,3,1,1,1,1,1,0
357,5,3,1,1,1,1,1,5,1,1,1,1,1,0
358,1,3,1,1,1,1,2,9,2,2,1,1,1,0
359,2,3,1,1,1,1,1,3,1,1,1,1,1,0
360,4,3,1,1,1,1,2,3,1,1,1,1,1,0
361,5,3,1,1,1,1,1,3,1,1,1,1,1,0
362,2,3,1,1,1,1,1,3,1,1,1,1,1,0
363,4,3,1,1,1,1,1,5,1,1,1,1,1,0
364,5,2,1,1,1,1,1,5,1,1,1,1,1,0
365,1,3,1,1,1,1,1,3,2,2,1,1,1,0
366,2,3,1,1,1,1,1,4,1,1,1,1,1,0
367,3,3,1,1,1,1,1,4,1,1,1,1,1,0
368,5,3,1,1,1,1,1,3,1,1,1,1,1,0
369,1,3,1,1,1,1,1,2,1,1,1,1,1,0
370,2,3,1,1,1,1,1,2,1,1,1,1,1,0
371,3,3,1,1,1,1,1,4,1,1,1,1,1,0
372,4,3,1,1,1,1,1,6,2,2,1,1,1,0
373,5,3,1,1,1,1,1,3,1,1,1,1,1,0
374,1,3,1,1,1,1,1,6,1,1,1,1,1,0
375,2,3,1,1,1,1,1,3,1,1,1,1,1,0
376,3,3,1,1,1,1,1,4,1,1,1,1,1,0
377,4,2,1,1,1,1,1,5,1,1,1,1,1,0
378,1,2,1,1,1,2,1,4,1,1,1,1,1,0
379,2,3,1,1,1,1,1,2,1,1,1,1,1,0
380,3,3,1,1,1,1,1,4,1,1,1,1,1,0
381,4,3,1,1,1,1,1,4,1,1,1,1,1,0
382,5,3,1,1,1,1,1,3,1,1,1,1,1,0
383,1,3,1,1,1,1,1,6,1,1,1,1,1,0
384,2,2,1,1,1,1,1,4,1,1,1,1,1,0
385,4,3,1,1,1,1,1,4,1,1,1,1,1,0
386,5,2,1,1,1,1,1,5,1,1,1,1,1,0
387,1,2,1,1,1,1,2,2,1,1,1,1,1,0
388,2,2,4,1,1,1,2,11,1,1,1,1,1,0
389,4,3,1,1,1,1,1,6,1,1,1,1,1,0
390,5,2,1,1,1,1,1,3,1,1,1,1,1,0
391,1,3,1,1,1,1,1,3,1,1,1,1,1,0
392,2,2,1,1,1,1,2,4,1,1,1,1,1,0
393,3,3,1,1,1,1,1,6,1,1,1,1,1,0
394,4,3,1,1,1,1,1,7,1,1,1,1,1,0
395,5,1,1,1,1,1,1,1,1,1,1,1,1,0
396,1,3,1,1,1,1,2,4,1,1,1,1,1,0
397,2,3,1,1,1,1,1,1,1,1,1,1,1,0
398,3,2,1,1,1,2,1,6,1,1,1,1,1,0
399,4,2,1,1,1,1,2,6,1,1,1,1,1,0
400,5,2,1,1,1,1,1,6,1,1,1,1,1,0
401,1,2,1,1,1,1,1,6,1,1,1,1,1,0
402,2,3,1,1,1,1,1,2,1,1,1,1,1,0
403,3,3,1,1,1,1,1,8,1,1,1,1,1,0
404,4,2,1,1,1,2,2,1,1,1,1,1,1,0
405,5,2,1,1,1,1,2,3,1,1,1,1,1,0
406,1,3,1,1,1,1,1,4,1,1,1,1,1,0
407,2,3,1,1,1,1,1,2,1,1,1,1,1,0
408,3,3,1,1,1,1,1,5,1,1,1,1,1,0
409,4,3,1,1,1,1,1,3,1,1,1,1,1,0
410,1,3,1,1,1,2,1,3,1,1,1,1,1,0
411,2,3,1,1,1,1,1,3,1,1,1,1,1,0
412,3,3,1,1,1,1,1,12,1,1,1,1,1,0
413,4,2,1,1,1,1,2,11,2,2,1,1,1,0
414,5,3,1,1,1,1,1,2,1,1,1,1,1,0
415,1,2,1,1,1,1,1,7,1,1,1,1,1,0
416,3,3,1,1,1,2,2,1,1,1,1,1,1,0
417,4,2,1,1,1,1,1,5,1,1,1,1,1,0
418,5,2,1,1,1,1,1,4,1,1,1,1,1,0
419,1,2,1,1,1,1,1,6,1,1,1,1,1,0
420,2,3,1,1,1,1,1,6,1,1,1,1,1,0
421,3,2,1,1,1,2,2,4,1,1,1,1,1,0
422,5,2,1,1,1,1,1,7,1,1,1,1,1,0
423,1,3,1,1,1,1,1,4,1,1,1,1,1,0
424,2,3,1,1,1,1,1,1,1,1,1,1,1,0
425,3,3,1,1,1,1,2,4,1,1,1,1,1,0
426,4,3,1,1,1,1,1,9,1,1,1,1,1,0
427,5,2,1,1,1,1,1,4,1,1,1,1,1,0
